"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3269.49243327586,1949.64857662179,1.67696500409371,0.0989315497716344
"Coronary.artery.disease.",967.442969302806,858.183792468428,1.1273144258762,0.264251765532419
"Valve.disease.",205.284011680819,645.334044940746,0.318105039227658,0.751547822358086
"Heart.failure.",-1131.73444003782,1250.03824586637,-0.90535985101275,0.36902041587301
"Sex.assigned.at.birth",1175.96679261875,596.212633756383,1.97239495783522,0.0533385045876311
"Age.at.enrollment",-3.94403102416806,25.4678453132314,-0.154863160807679,0.877466862448446
"BMI",-26.8806153255651,46.2390501932796,-0.581340127299413,0.563263758962785
"Smoking",-628.732878594204,625.276701954138,-1.00552743550058,0.31881965217041
"Diabetes",-414.337266869079,817.06126600967,-0.507106730065179,0.614002654968308
"History.of.cancer",-808.282365604173,1076.00729298552,-0.751186698150983,0.455577484760871
"Hypertension",-740.230434680173,753.465919332939,-0.982433864209168,0.329966640293027
"Peripheral.vascular.disease",542.268306400395,1363.13236389538,0.397810455362364,0.692230348250948
"Hyperlipidemia",39.0162349397374,756.638649479576,0.0515652153991515,0.959052321162449
"Stroke",380.496805127256,1313.30620633633,0.289724363816654,0.773060345949037
"Hypothyroidism",59.0694801353055,1337.91313678503,0.044150459780407,0.964936124040921
"Autoimmune.disease",-745.48509330929,1213.4072899225,-0.614373343147545,0.541371271266037
"History.of.thrombosis.pulmonary.embolism",-1531.75172403852,1496.02817334111,-1.02387892910976,0.310144030037208
